datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-29 19:20:06	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1167	3128	320	682	NULL	NULL	NULL	NULL
2019-04-29 19:20:07	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	276	20	99	2602
2019-04-29 20:20:00	NULL	95928	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 20:20:01	12605	NULL	101486	29803	18568	3142	21279	1818	3754	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 20:20:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3472	3142	220	1167	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 20:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3142	320	682	276	NULL	NULL	NULL
2019-04-29 20:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	20	99	2602
2019-04-29 21:20:01	12617	96057	101521	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 21:20:02	NULL	NULL	NULL	29824	18602	3149	21295	1820	3755	3470	3149	220	1167	3149	320	NULL	NULL	NULL	NULL	NULL
2019-04-29 21:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	682	276	20	99	2602
2019-04-29 22:20:01	12622	96307	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
